변수명,Label
," 14) 연식품(두부류, 순두부, 유부, 묵류, 곤약 등)"
," 15) 곡물가공품(밀가루류, 전분, 쌀가루, 씨리얼 등)"
," 16) 커피 및 차(커피, 커피음료, 잎차, 티백, 곡물차 등)"
," 17) 음료류(탄산음료, 과일음료, 기능성음료, 생수, 두유 등)"
," 18) 주류(맥주, 소주, 양주, 와인 및 과일주 등)"
," 19) 간편식(HMR, 즉석조리, 즉석섭취, 밀키트, 신선편의)"
," 20) 건강기능식품(비타민, 식이섬유, 오메가3, 홍삼 등)"
A4_3,"  1) 육류가공품(소시지, 햄 및 베이컨, 육가공품 등)"
,"  2) 알가공품(삶은 계란, 삶은 메추리알 등)"
,"  3) 조미수산가공품(어육, 맛살, 수산물통조림 등)"
,"  4) 염건수산가공품(젓갈류, 김, 미역, 북어, 굴비 등)"
,"  5) 김치 및 절임류(배추김치, 장아찌, 단무지 등)"
,"  6) 과일채소가공품(과일/채소통조림, 퓨레/페이스트 등)"
,"  7) 장류(간장, 된장, 고추장, 쌈장, 춘장, 청국장 등)"
,"  8) 조미식품(드레싱/소스류, 소금, 설탕, 식초, 고춧가루 등)"
,"  9) 유지류(참기름 및 들기름, 식용유, 버터 등)"
," 10) 유가공품(우유, 요구르트 등 발효유, 치즈, 분유 등)"
," 11) 빵 및 떡류(식빵, 케이크, 일반빵류, 떡류 등)"
," 12) 과자류(과자, 한과, 초콜릿가공품, 사탕, 빙과류 등)"
," 13) 면류(인스턴트 라면, 국수, 칼국수, 당면, 우동 등)"
," 14) 연식품(두부류, 순두부, 유부, 묵류, 곤약 등)"
," 15) 곡물가공품(밀가루류, 전분, 쌀가루, 씨리얼 등)"
," 16) 커피 및 차(커피, 커피음료, 잎차, 티백, 곡물차 등)"
," 17) 음료류(탄산음료, 과일음료, 기능성음료, 생수, 두유 등)"
," 18) 주류(맥주, 소주, 양주, 와인 및 과일주 등)"
," 19) 간편식(HMR, 즉석조리, 즉석섭취, 밀키트, 신선편의)"
," 20) 건강기능식품(비타민, 식이섬유, 오메가3, 홍삼 등)"
A5_1,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_2,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_3,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_4,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_5,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_6,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_7,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A5_8,  1) 매우 불만족 한다
,  2) 불만족하는 편이다
,  3) 보통이다
,  4) 만족하는 편이다
,  5) 매우 만족한다
A6_1,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_2,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_3,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_4,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_5,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_6,  1) 매우 감소
,  2) 약간 감소
,  3) 변함없음
,  4) 약간 증가
,  5) 매우 증가
A6_1_1,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_2,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_3,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_4,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_5,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_6,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_7,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A6_1_8,"  1) 가구원 수 변화(전입, 전출)"
,  2) 가구원당 식품 소비량 변화
,  3) 식품 물가 변화
,  4) 식생활 구성 변화(신선ㆍ가공ㆍ외식소비 증감)
,  5) 소비하는 품질수준 변화(맛ㆍ영양ㆍ안전)
,  6) 가구의 소득 변화
,  7) 금리 및 에너지 가격 등 식품 이외 물가 변화
A7,  1) 매우 감소할 것이다
,  2) 약간 감소할 것이다
,  3) 현 수준을 유지할 것이다
,  4) 약간 증가할 것이다
,  5) 매우 증가할 것이다
A8,  1) 대부분의 가공식품을 온라인으로 구입한다
,  2) 특정 가공식품만 항상 온라인으로 구입한다
,"  3) 식품군에 상관없이 온라인으로 구매할 때도 있고, 오프라인으로 구매할 때도 있다"
,"  4) 특정 가공식품에 대해서만 온라인으로 구매할 때도 있고, 오프라인으로 구매할 때도 있다"
,  5) 전혀 구입하지 않았다
A8_1_1,  1) 품질·안전 등을 신뢰할 수 없어서
,  2) 상품에 대한 충분한 정보 획득이 어려워서
,"  3) 교환, 반품이 어려워서"
,  4) 배송을 기다릴 수 없어서
,  5) 배송 과정에서 상품 파손 및 품질 저하가 우려돼서
,  6) 인터넷/스마트폰 사용이 어려워서
,  7) 가격이 비싸서
,  8) 온라인에서 판매하는 식품이 다양하지 않아서
,"  9) 사이트 방문, 정보 탐색 등 찾아보기가 귀찮아서"
," 10) 택배 박스, 포장지 등 쓰레기가 많이 나와서"
, 51) 접근성이 낮아서
, 52) 소량 구매가 어려워서
, 97) 구입하지 않음
A8_1_2,  1) 품질·안전 등을 신뢰할 수 없어서
,  2) 상품에 대한 충분한 정보 획득이 어려워서
,"  3) 교환, 반품이 어려워서"
,  4) 배송을 기다릴 수 없어서
,  5) 배송 과정에서 상품 파손 및 품질 저하가 우려돼서
