iter	Passed	Remaining
399	71034	106551
400	71229	106400
401	71417	106238
402	71620	106097
403	71815	105945
404	72011	105794
405	72196	105626
406	72381	105459
407	72578	105309
408	72788	105178
409	72983	105024
410	73172	104862
411	73359	104696
412	73531	104510
413	73737	104372
414	73930	104215
415	74123	104057
416	74324	103912
417	74516	103752
418	74708	103593
419	74905	103441
420	75095	103278
421	75307	103145
422	75496	102981
423	75690	102824
424	75870	102648
425	76053	102475
426	76233	102299
427	76481	102212
428	76699	102087
429	76891	101925
430	77085	101767
431	77276	101604
432	77463	101435
433	77656	101276
434	77854	101121
435	78058	100974
436	78259	100823
437	78448	100657
438	78652	100509
439	78857	100364
440	79075	100233
441	79293	100103
442	79502	99961
443	79675	99773
444	79875	99620
445	80061	99449
446	80251	99281
447	80433	99105
448	80625	98941
449	80821	98781
450	81018	98623
451	81206	98454
452	81263	98126
453	81444	97948
454	81625	97771
455	81820	97610
456	82008	97440
457	82169	97240
458	82364	97079
459	82553	96910
460	82742	96742
461	82940	96584
462	83133	96420
463	83316	96244
464	83511	96082
465	83672	95881
466	83863	95715
467	84064	95560
468	84252	95390
469	84434	95213
470	84625	95046
471	84820	94884
472	85023	94730
473	85229	94580
474	85418	94409
475	85609	94242
476	85793	94067
477	85992	93908
478	86180	93737
479	86372	93570
480	86563	93401
481	86759	93239
482	86944	93065
483	87139	92900
484	87330	92731
485	87513	92554
486	87697	92379
487	87890	92212
488	88075	92037
489	88272	91875
490	88454	91696
491	88643	91525
492	88854	91377
493	89079	91243
494	89281	91085
495	89482	90926
496	89684	90767
497	89879	90601
498	90068	90429
499	90242	90242
500	90450	90089
501	90646	89923
502	90841	89757
503	91024	89579
504	91204	89398
505	91390	89222
506	91590	89061
507	91794	88903
508	91996	88743
509	92184	88568
510	92365	88388
511	92560	88221
512	92758	88057
513	92945	87882
514	93140	87714
515	93336	87548
516	93522	87372
517	93709	87197
518	93896	87021
519	94113	86874
520	94310	86707
521	94502	86536
522	94709	86379
523	94899	86206
524	95154	86092
525	95361	85934
526	95576	85783
527	95771	85614
528	95964	85442
529	96159	85273
530	96341	85092
531	96536	84922
532	96735	84756
533	96812	84484
534	96998	84307
535	97273	84206
536	97476	84044
537	97671	83873
538	97859	83697
539	98051	83525
540	98245	83353
541	98435	83179
542	98628	83008
543	98866	82873
544	99075	82714
545	99303	82570
546	99502	82403
547	99707	82240
548	99871	82044
549	100068	81874
550	100279	81715
551	100469	81540
552	100656	81362
553	100839	81180
554	100891	80895
555	101064	80706
556	101231	80512
557	101401	80321
558	101584	80141
559	101768	79961
560	101960	79787
561	102145	79608
562	102328	79427
563	102521	79254
564	102597	78991
565	102795	78822
566	102991	78651
567	103179	78474
568	103354	78288
569	103551	78117
570	103739	77941
571	103941	77774
572	104135	77601
573	104316	77419
574	104503	77241
575	104695	77067
576	104881	76888
577	105081	76720
578	105271	76544
579	105458	76366
580	105645	76188
581	105833	76011
582	106024	75835
583	106214	75659
584	106397	75478
585	106597	75309
586	106798	75140
587	107002	74974
588	107194	74799
589	107390	74627
590	107604	74467
591	107796	74292
592	107984	74114
593	108180	73941
594	108365	73761
595	108556	73585
596	108742	73406
597	108935	73231
598	109114	73046
599	109304	72869
600	109490	72689
601	109676	72510
602	109868	72334
603	110070	72165
604	110262	71989
605	110443	71806
606	110642	71635
607	110834	71458
608	111032	71286
609	111228	71113
610	111408	70929
611	111590	70747
612	111788	70574
613	111992	70405
614	112177	70224
615	112368	70047
616	112558	69870
617	112748	69692
618	112942	69516
619	113133	69339
620	113315	69157
621	113507	68980
622	113692	68799
623	113869	68613
624	114058	68435
625	114247	68256
626	114435	68077
627	114619	67895
628	114811	67718
629	115007	67544
630	115204	67370
631	115389	67188
632	115587	67015
633	115773	66834
634	115963	66656
635	116169	66486
636	116355	66306
637	116543	66126
638	116733	65947
639	116923	65769
640	117111	65589
641	117388	65459
642	117582	65282
643	117786	65111
644	117963	64925
645	118145	64742
646	118339	64565
647	118519	64381
648	118720	64207
649	118896	64021
650	119084	63840
651	119266	63657
652	119455	63477
653	119643	63297
654	119841	63122
655	120023	62939
656	120212	62759
657	120402	62580
658	120595	62402
659	120769	62214
660	120959	62035
661	121142	61852
662	121335	61674
663	121514	61489
664	121710	61312
665	121916	61141
666	122099	60958
667	122293	60780
668	122484	60601
669	122676	60422
670	122871	60245
671	123071	60070
672	123268	59894
673	123452	59711
674	123648	59534
675	123833	59352
676	124020	59170
677	124214	58992
678	124404	58812
679	124599	58635
680	124786	58453
681	124988	58278
682	125164	58092
683	125349	57909
684	125546	57733
685	125734	57552
686	125922	57370
687	126107	57188
688	126289	57004
689	126479	56824
690	126667	56643
691	126863	56465
692	127056	56286
693	127251	56107
694	127442	55928
695	127639	55750
696	127845	55576
697	128033	55395
698	128207	55208
699	128394	55026
700	128581	54844
701	128771	54663
702	128971	54487
703	129162	54306
704	129344	54122
705	129531	53941
706	129724	53761
707	129933	53588
708	130135	53412
709	130328	53232
710	130513	53049
711	130713	52873
712	130918	52697
713	131117	52520
714	131312	52341
715	131499	52158
716	131692	51978
717	131881	51797
718	132080	51619
719	132276	51440
720	132460	51257
721	132656	51078
722	132882	50910
723	133113	50745
724	133330	50573
725	133540	50399
726	133742	50222
727	133944	50045
728	134141	49866
729	134340	49687
730	134542	49510
731	134765	49340
732	134958	49159
733	135154	48979
734	135354	48801
735	135563	48626
736	135757	48445
737	135946	48262
738	136139	48081
739	136321	47896
740	136513	47715
741	136713	47536
742	136907	47355
743	137104	47175
744	137304	46996
745	137481	46810
746	137673	46628
747	137871	46448
748	138064	46267
749	138252	46084
750	138435	45899
751	138622	45715
752	138805	45531
753	138990	45347
754	139172	45161
755	139341	44972
756	139599	44812
757	139788	44629
758	139990	44450
759	140180	44267
760	140370	44084
761	140554	43900
762	140749	43719
763	140943	43537
764	141135	43355
765	141307	43167
766	141525	42992
767	141754	42821
768	141972	42646
769	142189	42472
770	142394	42293
771	142584	42110
772	142790	41931
773	142986	41750
774	143184	41569
775	143381	41388
776	143560	41202
777	143735	41014
778	143903	40825
779	144071	40635
780	144244	40447
781	144427	40262
782	144605	40075
783	144788	39890
784	144982	39708
785	145215	39537
786	145433	39361
787	145623	39177
788	145786	38987
789	146021	38815
790	146265	38646
791	146483	38470
792	146710	38296
793	146922	38118
794	147163	37947
795	147504	37802
796	147724	37626
797	147966	37455
